T [r = 1.1 + s = 0.25],P(t)(N=100)[r = 1.1 + s = 0.25],P(t) (N=1000)[r = 1.1 + s = 0.25],P(t) (N=10000)[r = 1.1 + s = 0.25],T [r = -1.0 + s = -0.5],P(t)(N=100)[r = -1.0 + s = -0.5],P(t) (N=1000)[r = -1.0 + s = -0.5],P(t) (N=10000)[r = -1.0 + s = -0.5],T [r = -1.0 + s = -1.0],P(t)(N=100) [r = -1.0 + s = -1.0],P(t) (N=1000) [r = -1.0 + s = -1.0],P(t) (N=10000) [r = -1.0 + s = -1.0]
633.72,0.001821001941756861,0.8156447359787062,0.9943559808701804,28.48,0.003355607621233767,0.1650945477869247,0.5657516876791358,15.04,8.612001720051051e-14,8.637914660051285e-14,8.638172127313897e-14
639.29,0.001723102663614271,0.8142085863108163,0.9943088457908513,28.6,0.003276016274521462,0.1638463085001194,0.5643955116637697,15.08,7.949815340526503e-14,7.973799582845497e-14,7.974037887245151e-14
644.91,0.001629657972081057,0.8127621076582087,0.9942612898604102,28.72,0.003198312747598155,0.1626075068436781,0.5630425865682415,15.13,7.193217748749085e-14,7.214991504258875e-14,7.215207846000037e-14
650.58,0.001540516463705123,0.8113053640952719,0.994213313139457,28.84,0.003122452263440926,0.1613780714619979,0.5616929045996981,15.17,6.640123244937557e-14,6.660276063268222e-14,6.660476299890923e-14
656.3000000000001,0.001455528754210627,0.8098384200687796,0.9941649156891265,28.96,0.003048391107088923,0.160157931538978,0.5603464579839676,15.22,6.008171301272374e-14,6.0264663932462e-14,6.026648172055877e-14
662.0700000000001,0.001374547656189347,0.8083613403931492,0.994116097571087,29.08,0.002976086600452412,0.1589470167939409,0.5590032389655135,15.26,5.546196335302526e-14,5.563129193060796e-14,5.563297437094914e-14
667.9,0.001297299629424763,0.8068716373608076,0.9940667742470223,29.2,0.002905497077719309,0.1577452574775838,0.5576632398073902,15.31,5.018355296099631e-14,5.033726951374507e-14,5.033879683712752e-14
673.77,0.001223907059769456,0.8053744870137719,0.9940171149849329,29.32,0.002836581861345075,0.1565525843679614,0.5563264527911984,15.36,4.540749795962194e-14,4.554704041854736e-14,4.554842691159114e-14
679.6900000000001,0.001154093918716256,0.8038673976504331,0.9939670352433799,29.44,0.002769301238612092,0.1553689287664984,0.5549928702170409,15.4,4.191606499727783e-14,4.20452141729198e-14,4.204649740064676e-14
685.67,0.001087615392931923,0.8023478969356747,0.9939164504984411,29.56,0.002703616438745008,0.1541942224940327,0.5536624844034783,15.45,3.792684103731277e-14,3.80440792247887e-14,3.804524410740862e-14
